VRUPL_Logo.raw,256,0.987430,0.012570,1.455978,FIFO
VRUPL_Logo.raw,256,0.998825,0.001175,0,UNLIMITED
VRUPL_Logo.raw,768,0.992431,0.007569,0.867325,FIFO
VRUPL_Logo.raw,768,0.998825,0.001175,0,UNLIMITED
VRUPL_Logo.raw,1536,0.995265,0.004735,0.526535,FIFO
VRUPL_Logo.raw,1536,0.998825,0.001175,0,UNLIMITED
VRUPL_Logo.raw,3072,0.997416,0.002584,0.253189,FIFO
VRUPL_Logo.raw,3072,0.998825,0.001175,0,UNLIMITED
VRUPL_Logo.raw,6400,0.998527,0.001473,0.073471,FIFO
VRUPL_Logo.raw,6400,0.998825,0.001175,0,UNLIMITED
VRUPL_Logo.raw,12800,0.998825,0.001175,0.000000,FIFO
VRUPL_Logo.raw,12800,0.998825,0.001175,0,UNLIMITED
VRUPL_Logo.raw,25600,0.998825,0.001175,0.000000,FIFO
VRUPL_Logo.raw,25600,0.998825,0.001175,0,UNLIMITED
LUG_Newbies.raw,256,0.550573,0.449427,4.099197,FIFO
LUG_Newbies.raw,256,0.933711,0.066289,0,UNLIMITED
LUG_Newbies.raw,768,0.627540,0.372460,3.388702,FIFO
LUG_Newbies.raw,768,0.933711,0.066289,0,UNLIMITED
LUG_Newbies.raw,1536,0.678702,0.321298,2.909897,FIFO
LUG_Newbies.raw,1536,0.933711,0.066289,0,UNLIMITED
LUG_Newbies.raw,3072,0.737101,0.262899,2.353302,FIFO
LUG_Newbies.raw,3072,0.933711,0.066289,0,UNLIMITED
LUG_Newbies.raw,6400,0.804618,0.195382,1.686111,FIFO
LUG_Newbies.raw,6400,0.933711,0.066289,0,UNLIMITED
LUG_Newbies.raw,12800,0.864618,0.135382,1.040680,FIFO
LUG_Newbies.raw,12800,0.933711,0.066289,0,UNLIMITED
LUG_Newbies.raw,25600,0.911875,0.088125,0.413925,FIFO
LUG_Newbies.raw,25600,0.933711,0.066289,0,UNLIMITED
light_drops.raw,256,0.142456,0.857544,0.317673,FIFO
light_drops.raw,256,0.771647,0.228353,0,UNLIMITED
light_drops.raw,768,0.298950,0.701050,0.251175,FIFO
light_drops.raw,768,0.771647,0.228353,0,UNLIMITED
light_drops.raw,1536,0.452189,0.547811,0.181992,FIFO
light_drops.raw,1536,0.771647,0.228353,0,UNLIMITED
light_drops.raw,3072,0.638550,0.361450,0.088669,FIFO
light_drops.raw,3072,0.771647,0.228353,0,UNLIMITED
light_drops.raw,6400,0.771647,0.228353,0.000000,FIFO
light_drops.raw,6400,0.771647,0.228353,0,UNLIMITED
light_drops.raw,12800,0.771647,0.228353,0.000000,FIFO
light_drops.raw,12800,0.771647,0.228353,0,UNLIMITED
light_drops.raw,25600,0.771647,0.228353,0.000000,FIFO
light_drops.raw,25600,0.771647,0.228353,0,UNLIMITED
GrandeJatte.raw,256,0.118891,0.881109,8.663986,FIFO
GrandeJatte.raw,256,0.989363,0.010637,0,UNLIMITED
GrandeJatte.raw,768,0.270386,0.729614,7.165848,FIFO
GrandeJatte.raw,768,0.989363,0.010637,0,UNLIMITED
GrandeJatte.raw,1536,0.497075,0.502925,4.924072,FIFO
GrandeJatte.raw,1536,0.989363,0.010637,0,UNLIMITED
GrandeJatte.raw,3072,0.775581,0.224419,2.160843,FIFO
GrandeJatte.raw,3072,0.989363,0.010637,0,UNLIMITED
GrandeJatte.raw,6400,0.983738,0.016262,0.062317,FIFO
GrandeJatte.raw,6400,0.989363,0.010637,0,UNLIMITED
GrandeJatte.raw,12800,0.989363,0.010637,0.000000,FIFO
GrandeJatte.raw,12800,0.989363,0.010637,0,UNLIMITED
GrandeJatte.raw,25600,0.989363,0.010637,0.000000,FIFO
GrandeJatte.raw,25600,0.989363,0.010637,0,UNLIMITED
PictureName,CacheSize,Hit %, Miss %, AVG Times Swapped,CacheType
